imdbId,title,releaseYear,releaseDate,genre,actors,directors,sequel,hitFlop
tt0324951,23rd March 1931: Shaheed,2002,07-Jun-02,Biography | Drama | History,Bobby Deol | Sunny Deol | Amrita Singh | Rahul Dev,Guddu Dhanoa,0,1
tt0325041,Badhaai Ho Badhaai,2002,14-Jun-02,Comedy | Drama | Musical,Anil Kapoor | Anang Desai | Rohini Hattangadi | Vinay Jain,Satish Kaushik,0,1
tt0326576,Humraaz,2002,26-Jul-02,Action | Musical | Mystery,Bobby Deol | Akshaye Khanna | Ameesha Patel | Johnny Lever,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,0,4
tt0326600,Maine Dil Tujhko Diya,2002,23-Aug-02,Romance | Action | Drama,Sohail Khan | Sameera Reddy | Sanjay Dutt | Kabir Bedi,Sohail Khan,0,2
tt0326805,Chori Chori,2003,01-Aug-03,Comedy | Romance | Musical,Ajay Devgn | Sonali Bendre | Rani Mukerji | Kamini Kaushal,Milan Luthria,0,1
tt0326983,Jaani Dushman: Ek Anokhi Kahani,2002,16-Aug-02,Action | Fantasy | Horror,Akshay Kumar | Atul Agnihotri | Raj Babbar | Rajat Bedi,Rajkumar Kohli,0,2
tt0327004,Kuch Tum Kaho Kuch Hum Kahein,2002,28-Jun-02,Action | Drama | Romance,Vikram Gokhale | Dinesh Hingoo | Adi Irani | Farida Jalal,Ravi Sharma Shankar,0,1
tt0327005,Kyaa Dil Ne Kahaa,2002,28-Jun-02,Family | Romance,Rajesh Khanna | Tusshar Kapoor | Esha Deol | Raj Babbar,Sanjay Chhel,0,2
tt0327071,Om Jai Jagadish,2002,08-Jul-02,Drama | Musical,Waheeda Rehman | Anil Kapoor | Fardeen Khan | Abhishek Bachchan,Anupam Kher,0,1
tt0328503,Taj Mahal: An Eternal Love Story,2005,01-May-06,Drama | Musical | Romance,Zulfi Sayed | Sonya Jehan | Kabir Bedi | Arbaaz Khan,Akbar Khan,0,1
tt0328671,Yeh Hai Jalwa,2002,03-Jul-02,Comedy | Drama | Romance,Rishi Kapoor | Salman Khan | Ameesha Patel | Rati Agnihotri,David Dhawan,0,2
